datetime,aod_longitude,aod_latitude,station_longitude,station_latitude,AOD,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipcover,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex
2025-05-03,106.69999694824219,-6.25,106.7525,-6.20737,0.45179998874664307,33.4,25.0,28.9,40.5,25.0,32.6,24.1,76.1,4.3,33.33,14.0,19.1,46.2,,55.2,11.4,252.7,21.8,9.0
2025-05-03,106.75,-6.25,106.7525,-6.20737,0.7396000027656555,33.4,25.0,28.9,40.5,25.0,32.6,24.1,76.1,4.3,33.33,14.0,19.1,46.2,,55.2,11.4,252.7,21.8,9.0
2025-05-03,106.80000305175781,-6.25,106.7525,-6.20737,0.38019999861717224,33.4,25.0,28.9,40.5,25.0,32.6,24.1,76.1,4.3,33.33,14.0,19.1,46.2,,55.2,11.4,252.7,21.8,9.0
2025-05-03,106.8499984741211,-6.25,106.7525,-6.20737,0.3783999979496002,33.4,25.0,28.9,40.5,25.0,32.6,24.1,76.1,4.3,33.33,14.0,19.1,46.2,,55.2,11.4,252.7,21.8,9.0
2025-05-03,106.9000015258789,-6.25,106.7525,-6.20737,0.45899999141693115,33.4,25.0,28.9,40.5,25.0,32.6,24.1,76.1,4.3,33.33,14.0,19.1,46.2,,55.2,11.4,252.7,21.8,9.0
2025-05-03,106.94999694824219,-6.25,106.7525,-6.20737,0.40639999508857727,33.4,25.0,28.9,40.5,25.0,32.6,24.1,76.1,4.3,33.33,14.0,19.1,46.2,,55.2,11.4,252.7,21.8,9.0
2025-05-03,107.0,-6.25,106.7525,-6.20737,0.47360000014305115,33.4,25.0,28.9,40.5,25.0,32.6,24.1,76.1,4.3,33.33,14.0,19.1,46.2,,55.2,11.4,252.7,21.8,9.0
2025-05-03,106.5999984741211,-6.3000030517578125,106.7525,-6.20737,0.5959999561309814,33.4,25.0,28.9,40.5,25.0,32.6,24.1,76.1,4.3,33.33,14.0,19.1,46.2,,55.2,11.4,252.7,21.8,9.0
2025-05-03,106.6500015258789,-6.3000030517578125,106.7525,-6.20737,0.5708000063896179,33.4,25.0,28.9,40.5,25.0,32.6,24.1,76.1,4.3,33.33,14.0,19.1,46.2,,55.2,11.4,252.7,21.8,9.0
2025-05-03,106.69999694824219,-6.3000030517578125,106.7525,-6.20737,0.5550000071525574,33.4,25.0,28.9,40.5,25.0,32.6,24.1,76.1,4.3,33.33,14.0,19.1,46.2,,55.2,11.4,252.7,21.8,9.0
