datetime,aod_longitude,aod_latitude,station_longitude,station_latitude,AOD,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipcover,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex
2025-05-10,106.8499984741211,-6.400001525878906,106.7525,-6.20737,1.010200023651123,33.4,26.4,29.1,41.3,26.4,33.3,24.3,75.9,11.9,62.5,18.0,16.9,351.0,,62.2,9.4,213.7,18.5,9.0
2025-05-10,106.9000015258789,-6.400001525878906,106.7525,-6.20737,1.2663999795913696,33.4,26.4,29.1,41.3,26.4,33.3,24.3,75.9,11.9,62.5,18.0,16.9,351.0,,62.2,9.4,213.7,18.5,9.0
2025-05-10,106.94999694824219,-6.400001525878906,106.7525,-6.20737,1.000999927520752,33.4,26.4,29.1,41.3,26.4,33.3,24.3,75.9,11.9,62.5,18.0,16.9,351.0,,62.2,9.4,213.7,18.5,9.0
2025-05-10,107.0,-6.400001525878906,106.7525,-6.20737,1.5925999879837036,33.4,26.4,29.1,41.3,26.4,33.3,24.3,75.9,11.9,62.5,18.0,16.9,351.0,,62.2,9.4,213.7,18.5,9.0
2025-05-10,106.5999984741211,-6.450004577636719,106.7525,-6.20737,1.1114000082015991,33.4,26.4,29.1,41.3,26.4,33.3,24.3,75.9,11.9,62.5,18.0,16.9,351.0,,62.2,9.4,213.7,18.5,9.0
2025-05-10,106.6500015258789,-6.450004577636719,106.7525,-6.20737,1.4977999925613403,33.4,26.4,29.1,41.3,26.4,33.3,24.3,75.9,11.9,62.5,18.0,16.9,351.0,,62.2,9.4,213.7,18.5,9.0
2025-05-10,106.69999694824219,-6.450004577636719,106.7525,-6.20737,1.8073999881744385,33.4,26.4,29.1,41.3,26.4,33.3,24.3,75.9,11.9,62.5,18.0,16.9,351.0,,62.2,9.4,213.7,18.5,9.0
2025-05-10,106.75,-6.450004577636719,106.7525,-6.20737,1.4327999353408813,33.4,26.4,29.1,41.3,26.4,33.3,24.3,75.9,11.9,62.5,18.0,16.9,351.0,,62.2,9.4,213.7,18.5,9.0
2025-05-10,106.80000305175781,-6.450004577636719,106.7525,-6.20737,1.1862000226974487,33.4,26.4,29.1,41.3,26.4,33.3,24.3,75.9,11.9,62.5,18.0,16.9,351.0,,62.2,9.4,213.7,18.5,9.0
2025-05-10,106.8499984741211,-6.450004577636719,106.7525,-6.20737,1.3315999507904053,33.4,26.4,29.1,41.3,26.4,33.3,24.3,75.9,11.9,62.5,18.0,16.9,351.0,,62.2,9.4,213.7,18.5,9.0
2025-05-10,106.9000015258789,-6.450004577636719,106.7525,-6.20737,1.0648000240325928,33.4,26.4,29.1,41.3,26.4,33.3,24.3,75.9,11.9,62.5,18.0,16.9,351.0,,62.2,9.4,213.7,18.5,9.0
2025-05-10,106.94999694824219,-6.450004577636719,106.7525,-6.20737,1.135599970817566,33.4,26.4,29.1,41.3,26.4,33.3,24.3,75.9,11.9,62.5,18.0,16.9,351.0,,62.2,9.4,213.7,18.5,9.0
2025-05-10,107.0,-6.450004577636719,106.7525,-6.20737,1.1247999668121338,33.4,26.4,29.1,41.3,26.4,33.3,24.3,75.9,11.9,62.5,18.0,16.9,351.0,,62.2,9.4,213.7,18.5,9.0
2025-05-10,106.5999984741211,-6.5,106.7525,-6.20737,2.071199893951416,33.4,26.4,29.1,41.3,26.4,33.3,24.3,75.9,11.9,62.5,18.0,16.9,351.0,,62.2,9.4,213.7,18.5,9.0
2025-05-10,106.6500015258789,-6.5,106.7525,-6.20737,1.9233999252319336,33.4,26.4,29.1,41.3,26.4,33.3,24.3,75.9,11.9,62.5,18.0,16.9,351.0,,62.2,9.4,213.7,18.5,9.0
2025-05-10,106.69999694824219,-6.5,106.7525,-6.20737,1.6927999258041382,33.4,26.4,29.1,41.3,26.4,33.3,24.3,75.9,11.9,62.5,18.0,16.9,351.0,,62.2,9.4,213.7,18.5,9.0
2025-05-10,106.75,-6.5,106.7525,-6.20737,1.472999930381775,33.4,26.4,29.1,41.3,26.4,33.3,24.3,75.9,11.9,62.5,18.0,16.9,351.0,,62.2,9.4,213.7,18.5,9.0
2025-05-10,106.80000305175781,-6.5,106.7525,-6.20737,1.3517999649047852,33.4,26.4,29.1,41.3,26.4,33.3,24.3,75.9,11.9,62.5,18.0,16.9,351.0,,62.2,9.4,213.7,18.5,9.0
2025-05-10,106.8499984741211,-6.5,106.7525,-6.20737,1.299399971961975,33.4,26.4,29.1,41.3,26.4,33.3,24.3,75.9,11.9,62.5,18.0,16.9,351.0,,62.2,9.4,213.7,18.5,9.0
2025-05-10,106.9000015258789,-6.5,106.7525,-6.20737,1.3143999576568604,33.4,26.4,29.1,41.3,26.4,33.3,24.3,75.9,11.9,62.5,18.0,16.9,351.0,,62.2,9.4,213.7,18.5,9.0
2025-05-10,106.94999694824219,-6.5,106.7525,-6.20737,1.1453999280929565,33.4,26.4,29.1,41.3,26.4,33.3,24.3,75.9,11.9,62.5,18.0,16.9,351.0,,62.2,9.4,213.7,18.5,9.0
2025-05-10,107.0,-6.5,106.7525,-6.20737,1.7245999574661255,33.4,26.4,29.1,41.3,26.4,33.3,24.3,75.9,11.9,62.5,18.0,16.9,351.0,,62.2,9.4,213.7,18.5,9.0
